hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
Jacque's Furnished Apartment,Nairobi,Kenya,"Jacque's Furnished Apartment is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6224915323,-1.2309904,36.8760216
Plums Hotel,Nairobi,Kenya,"Plums Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6225462381,-1.269015,36.811567
Parklands Villa Hotel,Nairobi,Kenya,"Parklands Villa Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6225463189,-1.2693153,36.8115938
Wambugu Grove Hotel,Nairobi,Kenya,"Wambugu Grove Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6225481483,-1.2658043,36.8172319
Silk Oak Guest House,Nairobi,Kenya,"Silk Oak Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6249063490,-1.21821,36.8973497
Stardom Hotel,Nairobi,Kenya,"Stardom Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6249168397,-1.2222451,36.9111495
Highway View Hotel,Nairobi,Kenya,"Highway View Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6249531843,-1.2071315,36.9149403
Kings Hotel,Nairobi,Kenya,"Kings Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6249531844,-1.2073408,36.9147874
Lake View Studios,Nairobi,Kenya,"Lake View Studios is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6257453158,-1.2432358,36.76973
French Horse,Nairobi,Kenya,"French Horse is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6257453167,-1.2406549,36.7571238
